,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
70,2EE5A327-46E0-4119-8C0F-F759493960FC,1,547013.0,0,1,0,2,61,3,24,3,9.0,0,12,1,1,1,0,2,38033.5,11,2,2018
71,8D70B25C-5530-4976-9FC9-88B327FB88ED,1,200000.0,0,1,0,2,27,3,29,4,3.25,1,33,2,3,0,0,2,32304.6,11,9,2018
73,E395093F-E707-4E6B-B918-C0CBE6AE6EF4,1,243638.29,0,1,0,2,44,5,17,3,24.0,1,33,2,0,0,0,2,46864.7,11,14,2018
74,914D7E81-4D14-4BB7-86DB-BA8A5F7665D0,2,50000.0,0,1,0,1,35,5,28,1,2.166666,1,37,1,1,0,1,2,30602.9,11,9,2018
75,86C244B7-B0E8-4EFC-9431-82C2C2FC10FB,1,107500.0,0,1,0,1,45,5,18,2,3.5,0,7,1,0,1,0,2,9711.81,11,14,2018
76,B2B8C1CE-CBA0-4BD3-91AF-9D2EA40B34D8,1,524700.0,0,2,0,2,42,3,17,2,14.0,1,15,2,1,1,0,2,36333.24,11,7,2018
77,6494F42D-E4CB-4CBD-A419-1742514A15F8,1,999900.0,0,2,0,2,52,6,2,2,8.0,0,36,2,0,0,0,2,141073.87,11,13,2018
78,6AD02BEA-08B1-4DF2-919C-62EF6B3BDA73,1,365902.99,0,2,0,1,52,5,2,1,24.0,1,6,2,1,1,0,2,91377.36,11,13,2018
80,B9D79D09-B35E-43DF-AD61-E78801AEAE56,1,153000.0,0,3,0,2,53,5,21,3,7.083333,1,15,1,1,1,0,2,105676.88,11,13,2018
81,E5B04E79-CD2F-40A0-9D9D-8C51413BDFB3,1,298357.14,0,1,0,2,34,5,18,3,1.166666,0,24,2,0,0,0,2,94479.75,11,14,2018
82,DE8762FB-F507-49FF-8B94-5F79ECFC9F52,1,553737.35,0,2,0,2,35,5,1,3,12.083333,3,33,1,0,0,0,2,58964.77,10,29,2018
83,2D0A1706-C53C-4AD7-B111-E75938F23848,1,757080.0,0,3,0,2,32,5,4,4,4.5,2,15,2,0,0,0,2,95381.0,11,14,2018
84,67C6F97E-764A-4348-A668-86B508213ED9,1,778800.0,0,1,0,1,28,5,12,4,5.5,0,1,2,0,0,0,2,34498.61,11,15,2018
